ID_Wisata,Nama_Wisata,Kota,Kategori,Deskripsi_Wisata,Deskripsi_Clean
W_9de49343,HeHa Ocean View,Yogyakarta,Budaya/Sejarah,Destinasi wisata HeHa Ocean View berlokasi di Yogyakarta.,destinasi wisata heha ocean view lokasi yogyakarta
W_4c9f7b80,Obelix Hills,Yogyakarta,Budaya/Sejarah,Destinasi wisata Obelix Hills berlokasi di Yogyakarta.,destinasi wisata obelix hills lokasi yogyakarta
W_d17aa4a7,The Lost World Castle,Yogyakarta,Budaya/Sejarah,"Pusat pengunjung bergaya benteng batu abad pertengahan, dengan pameran geologi & pemandangan gunung Merapi.",pusat unjung gaya benteng batu abad tengah pamer geologi pandang gunung rapi
W_534af67d,Tebing Breksi,Yogyakarta,Budaya/Sejarah,"Tebing batu kapur indah dengan pemandangan luas, ukiran rumit & teater terbuka.",tebing batu kapur indah pandang luas ukir rumit teater buka
W_ea54595d,Gembira Loka Zoo (Pintu masuk Timur),Yogyakarta,Budaya/Sejarah,"Dibuka pada 1956, kebun binatang 21 hektare dengan kolam sentuh, memberi makan hewan, naik gajah & unta.",buka kebun binatang hektare kolam sentuh beri makan hewan naik gajah unta
W_e08a4062,Blue Lagoon Jogja,Yogyakarta,Budaya/Sejarah,Tempat berenang populer di kolam mata air alami yang dikelilingi pepohonan & bebatuan.,tempat renang populer kolam mata air alami keliling pohon bebatuan
W_5197eb22,Puncak Sosok,Yogyakarta,Budaya/Sejarah,"Puncak bukit populer dengan panorama kota & matahari terbenam, serta kios makanan & sesekali musik live.",puncak bukit populer panorama kota matahari benam kios makan sekal musik live
W_8aea0d05,Titik Nol Kilometer Yogyakarta,Yogyakarta,Budaya/Sejarah,Destinasi wisata Titik Nol Kilometer Yogyakarta berlokasi di Yogyakarta.,destinasi wisata titik nol kilometer yogyakarta lokasi yogyakarta
W_2f597ed3,Taman Pintar Yogyakarta,Yogyakarta,Budaya/Sejarah,Pusat pendidikan anak-anak populer yang menawarkan berbagai pameran interaktif dan game ilmu pengetahuan.,pusat didik anak anak populer tawar bagai pamer interaktif game ilmu tahu
W_3d382ffb,Museum Sonobudoyo Unit I,Yogyakarta,Budaya/Sejarah,"Museum sejarah budaya Indonesia yang menampilkan topeng, senjata & artefak lain, & pertunjukan wayang golek.",museum sejarah budaya indonesia tampil topeng senjata artefak tunjuk wayang golek
W_0960c9bf,Pasar Tradisional Beringharjo,Yogyakarta,Budaya/Sejarah,"Pasar tradisional untuk pedagang pakaian, suvenir, dll yang buka sejak tahun 1758.",pasar tradisional dagang pakai suvenir yang buka sejak tahun
W_aeaae01e,Ullen Sentalu Museum,Yogyakarta,Budaya/Sejarah,"Artefak terkait seni & budaya Jawa, dengan tur berpemandu, restoran & taman yang rimbun.",artefak kait seni budaya jawa tur pandu restoran taman rimbun
W_ef8189f5,SKE City Park Yogyakarta,Yogyakarta,Budaya/Sejarah,"Taman hiburan dengan wahana untuk anak & dewasa, termasuk bianglala raksasa, zipline, & Segway.",taman hibur wahana anak dewasa masuk bianglala raksasa zipline segway
W_a2af8ed2,Embung Nglanggeran,Yogyakarta,Budaya/Sejarah,"Danau indah di gunung berapi, yang digunakan untuk mengumpulkan air hujan untuk kebun buah di sekitar.",danau indah gunung rap guna kumpul air hujan kebun buah sekitar
W_88853041,Hutan Pinus Pengger,Yogyakarta,Budaya/Sejarah,Objek wisata terbuka di kawasan hutan dengan tempat berfoto unik yang terbuat dari material alami.,objek wisata buka kawasan hutan tempat foto unik buat material alami
W_e63d0a30,Pintoe Langit Dahromo,Yogyakarta,Budaya/Sejarah,"Anjungan observasi dengan pintu dan piano kayu, serta menawarkan kesempatan berfoto kreatif.",anjung observasi pintu piano kayu tawar sempat foto kreatif
W_1d0b8a7c,Bukit Bintang,Yogyakarta,Alam,"Bukit yang terkenal dengan pemandangan indah, terutama saat langit malam dipenuhi bintang.",bukit kenal pandang indah utama langit malam penuh bintang
W_788d3419,Ekowisata Sungai Mudal,Yogyakarta,Budaya/Sejarah,Air terjun yang indah dan kolam alami menarik pengunjung ke taman dan kolam renang yang ramai ini.,air terjun indah kolam alami tarik unjung taman kolam renang ramai
W_bbffc6b9,Waduk Sermo,Yogyakarta,Budaya/Sejarah,"Berperahu di bendungan yang dikelilingi hutan yang populer untuk berkemah, bersepeda & memancing.",perahu bendung keliling hutan populer kemah sepeda pancing
W_daf802c7,De Mata Museum Jogja,Yogyakarta,Budaya/Sejarah,Museum unik yang menampilkan gambar latar belakang seperti nyata untuk menciptakan ilusi optik interaktif.,museum unik tampil gambar latar belakang nyata cipta ilusi optik interaktif
W_b7889510,Alun-Alun Kidul Yogyakarta,Yogyakarta,Budaya/Sejarah,"Alun-alun yang terkenal dengan hiburan malam, rental gokar berlampu neon, kios camilan, bar, dan musik ceria.",alun alun kenal hibur malam rental gokar lampu neon kios camil bar musik ceria
W_4d36c3d9,Kids Fun Park (Pusat),Yogyakarta,Budaya/Sejarah,"Taman petualangan dengan seluncuran air & area percik, serta gokar, zip line & wahana anak-anak.",taman tualang seluncur air area percik gokar zip line wahana anak anak
W_ff356cd9,Candi Kalasan,Yogyakarta,Budaya/Sejarah,Candi Budha abad ke-8 yang dipenuhi dekorasi ini dihiasi ukiran gambar dewa-dewi yang sangat detail.,candi budha abad penuh dekorasi hias ukir gambar dewa dewi yang sangat detail
W_7f2dd747,Candi Sari,Yogyakarta,Budaya/Sejarah,Reruntuhan candi Budha abad ke-8 yang awalnya dibangun dari kayu & batu.,runtuh candi budha abad yang awal bangun kayu batu
W_2434ca56,Candi Barong,Yogyakarta,Budaya/Sejarah,"Candi Hindu abad ke-9 terletak di rangkaian terasering tepi bukit, yang populer dengan panorama sunset-nya.",candi hindu abad letak rangkai terasering tepi bukit populer panorama sunset nya
W_b9824261,Candi Banyunibo,Yogyakarta,Budaya/Sejarah,"Candi Buddha abad ke-9 yang dipugar dengan dekorasi ukiran, yang dikelilingi sawah & hutan.",candi buddha abad pugar dekorasi ukir yang keliling sawah hutan
W_c311c291,Air Terjun Sri Gethuk,Yogyakarta,Alam,Air terjun alami yang indah di tengah hutan & tebing kapur ini merupakan tempat populer untuk berenang.,air terjun alami indah tengah hutan tebing kapur rupa tempat populer renang
W_6cdd4d64,Pantai Sadranan,Yogyakarta,Alam,Destinasi wisata Pantai Sadranan berlokasi di Yogyakarta.,destinasi wisata pantai sadran lokasi yogyakarta
W_617d6ad1,Pantai Krakal,Yogyakarta,Alam,Destinasi wisata Pantai Krakal berlokasi di Yogyakarta.,destinasi wisata pantai krakal lokasi yogyakarta
W_1b18b716,Pantai Kukup,Yogyakarta,Alam,"Pantai dengan terumbu karang lepas pantai, kedai seafood & matahari terbenam dari paviliun di puncak tebing.",pantai terumbu karang lepas pantai kedai seafood matahari benam paviliun puncak tebing
W_8c157c61,Pantai Baron,Yogyakarta,Alam,"Pantai di teluk, terkenal dengan kegiatan memancing & sup ikan terkenal, area berenang & jalur gunung indah.",pantai teluk kenal giat pancing sup ikan kenal area renang jalur gunung indah
W_2566cee9,Pantai Sepanjang,Yogyakarta,Alam,Destinasi wisata Pantai Sepanjang berlokasi di Yogyakarta.,destinasi wisata pantai panjang lokasi yogyakarta
W_85135e2d,Pantai Ngandong,Yogyakarta,Alam,"Pantai berpasir di teluk kecil populer untuk memancing, serta menghadap ke singkapan berbatu & kafe simpel.",pantai pasir teluk kecil populer pancing hadap singkap batu kafe simpel
W_536421c4,Pantai Wediombo,Yogyakarta,Alam,"Garis pantai berpasir panjang & lebar, bebatuan karang dengan air tenang & pemandangan perbukitan hijau.",garis pantai pasir panjang lebar bebatuan karang air tenang pandang bukit hijau
W_14e02ad1,Pantai Siung,Yogyakarta,Alam,Pantai berpasir yang tertutup pepohonan & tebing yang populer dengan pemanjat tebing & perahu nelayan cadik.,pantai pasir tutup pohon tebing populer panjat tebing perahu nelayan cadik
W_86e3aaee,Pantai Ngobaran,Yogyakarta,Alam,"Pantai kecil untuk berenang, berjemur & tempat makan di sekitar di teluk yang dikelilingi tebing rimbun.",pantai kecil renang jemur tempat makan sekitar teluk keliling tebing rimbun
W_c1453317,Pantai Ngrenehan,Yogyakarta,Alam,Pantai berpasir di teluk yang dihiasi perahu nelayan lokal & dinaungi oleh tanjung batu kapur berwarna hijau.,pantai pasir teluk hias perahu nelayan lokal naung tanjung batu kapur warna hijau
W_6173c864,Pantai Gesing,Yogyakarta,Alam,Pantai pasir putih di tepi tebing curam dengan air hijau cerah untuk berenang & menyantap lobster & sembilang.,pantai pasir putih tepi tebing curam air hijau cerah renang santap lobster sembilang
W_cf698803,Pantai Kuwaru,Yogyakarta,Alam,Destinasi wisata Pantai Kuwaru berlokasi di Yogyakarta.,destinasi wisata pantai waru lokasi yogyakarta
W_39933fbe,Gumuk Pasir Parangkusumo,Yogyakarta,Budaya/Sejarah,"Area bukit pasir unik & indah, destinasi populer untuk fotografi & seluncur pasir.",area bukit pasir unik indah destinasi populer fotografi seluncur pasir
W_3613095e,Hutan Pinus Asri,Yogyakarta,Budaya/Sejarah,Area mendaki di hutan yang terkenal dengan pohon pinus & tempat untuk berfoto dengan titik pengamatan gunung.,area daki hutan kenal pohon pinus tempat foto titik amat gunung
W_ab2082d6,Seribu Batu Songgo Langit,Yogyakarta,Budaya/Sejarah,"Jalan setapak & tempat observasi di bukit berhutan, plus rumah hobbit kayu terinspirasi ""Lord of the Rings"".",jalan setapak tempat observasi bukit hutan plus rumah hobbit kayu inspirasi lord of the rings
W_bee04781,Jurang Tembelan Kanigoro,Yogyakarta,Budaya/Sejarah,Panggung kayu yang menjorok keluar dengan pemandangan menawan dari atas jurang.,panggung kayu jorok keluar pandang tawan atas jurang
W_1a40311c,Bukit Pengilon,Yogyakarta,Alam,Destinasi wisata Bukit Pengilon berlokasi di Yogyakarta.,destinasi wisata bukit pengilon lokasi yogyakarta
W_9f8aa56b,Bukit Paralayang Watugupit,Yogyakarta,Alam,Tempat observasi di puncak bukit yang menghadap Samudera Hindia & pantai & titik lepas landas paralayang.,tempat observasi puncak bukit hadap samudera hindia pantai titik lepas landas paralayang
W_eda7542b,Grojogan Watu Purbo,Yogyakarta,Budaya/Sejarah,"Kumpulan air terjun sejajar dari bendungan, populer untuk selfie & pemandangan matahari terbenam di pedesaan.",kumpul air terjun sejajar bendung populer selfie pandang matahari benam desa
W_492207ad,Kedung Pedut,Yogyakarta,Alam,Pengunjung dapat mendaki ke air terjun kecil indah ini melalui batuan & berenang di kolam bagian bawah.,unjung daki air terjun kecil indah lalu batu renang kolam bagi bawah
W_6b97e710,Air Terjun Kembang Soka,Yogyakarta,Budaya/Sejarah,Destinasi wisata Air Terjun Kembang Soka berlokasi di Yogyakarta.,destinasi wisata air terjun kembang soka lokasi yogyakarta
W_4c280c36,Wisata Alam Kalibiru,Yogyakarta,Budaya/Sejarah,"Tujuan wisata alam yang menawarkan game & aktivitas outdoor, plus area untuk berfoto.",tuju wisata alam tawar game aktivitas outdoor plus area foto
W_e08dd8b1,PINTU MASUK AYUNAN LANGIT,Yogyakarta,Budaya/Sejarah,Destinasi wisata PINTU MASUK AYUNAN LANGIT berlokasi di Yogyakarta.,destinasi wisata pintu masuk ayun langit lokasi yogyakarta
W_595cc8fa,Goa Kiskendo,Yogyakarta,Alam,Destinasi wisata Goa Kiskendo berlokasi di Yogyakarta.,destinasi wisata goa kiskendo lokasi yogyakarta
W_5c461c06,Goa Rancang Kencono,Yogyakarta,Alam,Destinasi wisata Goa Rancang Kencono berlokasi di Yogyakarta.,destinasi wisata goa rancang kencono lokasi yogyakarta
W_9af2732c,Affandi Museum,Yogyakarta,Budaya/Sejarah,Museum rumah yang menampilkan arsitektur unik & berbagai lukisan dari seniman Indonesia ini.,museum rumah tampil arsitektur unik bagai lukis seniman indonesia
W_30f77f3c,Museum Pusat TNI AU Dirgantara Mandala,Yogyakarta,Budaya/Sejarah,"Pameran TNI AU Indonesia, termasuk jet tempur PDII & diorama yang menunjukkan peristiwa bersejarah.",pamer tni au indonesia masuk jet tempur pdii diorama tunjuk peristiwa sejarah
W_dccf7412,Museum Gunungapi Merapi,Yogyakarta,Alam,Museum dengan pameran yang didedikasikan untuk Gunung Merapi & gunung berapi Indonesia & internasional lain.,museum pamer dedikasi gunung rapi gunung rap indonesia internasional
W_4288b429,The World Landmarks - Merapi Park Yogyakarta,Yogyakarta,Budaya/Sejarah,"Taman & area piknik dengan versi mini dari bangunan seperti Big Ben & Menara Eiffel, plus taman rekreasi air.",taman area piknik versi mini bangun big ben menara eiffel plus taman rekreasi air
W_9722720a,Agrowisata Bhumi Merapi,Yogyakarta,Budaya/Sejarah,"Taman pertanian tempat pengunjung bisa memerah susu kambing, memberi makan kelinci & selfie di Santorini mini.",taman tani tempat unjung merah susu kambing beri makan kelinci selfie santorini mini
W_d9d96e25,Stonehenge Yogyakarta,Yogyakarta,Budaya/Sejarah,Replika beton dari batu berdiri Inggris yang ikonis di lereng Gunung Merapi.,replika beton batu diri inggris ikonis lereng gunung rapi
W_cfd68ef0,Plunyon Kalikuning,Yogyakarta,Budaya/Sejarah,"Taman tepi sungai populer yang memiliki jembatan, area pendakian, serta panorama bukit hijau & pegunungan.",taman tepi sungai populer milik jembatan area daki panorama bukit hijau gunung
W_529c8a15,Waterboom Jogja,Yogyakarta,Budaya/Sejarah,Destinasi wisata Waterboom Jogja berlokasi di Yogyakarta.,destinasi wisata waterboom jogja lokasi yogyakarta
W_9d3c24e9,Mini Zoo Jogja Exotarium,Yogyakarta,Budaya/Sejarah,"Kebun binatang kecil dengan reptil, hewan ternak, dan ikan, serta pengalaman langsung dan taman bunga.",kebun binatang kecil reptil hewan ternak ikan alam langsung taman bunga
W_8dd03f35,Suraloka Interactive Zoo,Yogyakarta,Budaya/Sejarah,Destinasi wisata Suraloka Interactive Zoo berlokasi di Yogyakarta.,destinasi wisata suraloka interactive zoo lokasi yogyakarta
W_34a89093,Watu Goyang,Yogyakarta,Budaya/Sejarah,"Taman tinggi dengan pemandangan matahari terbenam dan pedesaan, serta perlengkapan unik untuk selfie.",taman tinggi pandang matahari benam desa lengkap unik selfie
W_42c4a1ea,Puncak Segoro,Yogyakarta,Budaya/Sejarah,Destinasi wisata Puncak Segoro berlokasi di Yogyakarta.,destinasi wisata puncak segoro lokasi yogyakarta
W_bf97902b,Teras Kaca Pantai Nguluran,Yogyakarta,Alam,"Tiket masuk ke teras berlantai kaca yang menawarkan pemandangan tebing tinggi & laut, serta foto.",tiket masuk teras lantai kaca tawar pandang tebing tinggi laut foto
W_28c5ceb5,Gamplong Studio Alam,Yogyakarta,Budaya/Sejarah,Objek wisata terbuka dengan bangunan bergaya klasik yang dibuat ulang untuk syuting film & tempat foto unik.,objek wisata buka bangun gaya klasik buat ulang syuting film tempat foto unik
W_bb47d413,Wisata Tebing Gunung Gajah,Yogyakarta,Alam,Destinasi wisata Wisata Tebing Gunung Gajah berlokasi di Yogyakarta.,destinasi wisata wisata tebing gunung gajah lokasi yogyakarta
W_1dbe7377,Pantai Jungwok,Yogyakarta,Alam,"Pesisir berangin kencang ini populer untuk olahraga air & memancing lobster, plus naik perahu ke pulau karang.",pesisir angin kencang populer olahraga air pancing lobster plus naik perahu pulau karang
W_ccb71769,Keraton Surakarta Hadiningrat,Solo,Budaya/Sejarah,"Istana yang megah dari tahun 1744 dengan tur & museum berisi patung, senjata & artefak lain.",istana megah tahun tur museum isi patung senjata artefak
W_af66506d,Pura Mangkunegaran,Solo,Budaya/Sejarah,"Rumah anggota kerajaan sejak tahun 1757, sebagian wilayahnya dapat dikunjungi dengan tur pameran bersejarah.",rumah anggota raja sejak tahun bagi wilayah kunjung tur pamer sejarah
W_c838b1ae,Museum Radya Pustaka,Solo,Budaya/Sejarah,"Museum sejarah abad 19 yang nyaman dan berisi senjata, pakaian, manuskrip, patung & mata uang.",museum sejarah abad nyaman isi senjata pakai manuskrip patung mata uang
W_deb16ed3,House Of Danar Hadi,Solo,Budaya/Sejarah,"Museum batik internasional dengan kain klasik, demonstrasi langsung & tekstil untuk dijual.",museum batik internasional kain klasik demonstrasi langsung tekstil jual
W_1ec975bc,Benteng Vastenburg,Solo,Budaya/Sejarah,"Benteng peninggalan kolonial Belanda tahun 1700-an, yang sekarang sesekali digunakan untuk konser & festival.",benteng tinggal kolonial belanda tahun an sekarang sekal guna konser festival
W_40105b7b,Museum Keris Nusantara,Solo,Budaya/Sejarah,"Museum ini menampilkan warisan budaya Jawa dengan seni, artefak, & senjata khas daerah.",museum tampil waris budaya jawa seni artefak senjata khas daerah
W_d21ae8d6,Monumen Pers Nasional,Solo,Budaya/Sejarah,"Museum pers nasional, dengan perpustakaan, pameran & lebih dari 1 juta surat kabar.",museum pers nasional pustaka pamer lebih juta surat kabar
W_cfacd8db,Lokananta,Solo,Budaya/Sejarah,Destinasi wisata Lokananta berlokasi di Solo.,destinasi wisata lokananta lokasi solo
W_6f64a27c,Gedung Djoeang 45,Solo,Budaya/Sejarah,Destinasi wisata Gedung Djoeang 45 berlokasi di Solo.,destinasi wisata gedung djoeang lokasi solo
W_a85293c8,Dalem Kalitan,Solo,Budaya/Sejarah,Destinasi wisata Dalem Kalitan berlokasi di Solo.,destinasi wisata dalem kalitan lokasi solo
W_ccb955ba,Tumurun Private Museum,Solo,Budaya/Sejarah,Seni modern yang memukau milik keluarga pendiri perusahaan tekstil besar yang dipajang di rumah besar.,seni modern pukau milik keluarga diri usaha tekstil besar pajang rumah besar
W_5da2deca,Kampung Batik Laweyan,Solo,Budaya/Sejarah,Destinasi wisata Kampung Batik Laweyan berlokasi di Solo.,destinasi wisata kampung batik laweyan lokasi solo
W_32ed8967,Kampung Batik Kauman,Solo,Budaya/Sejarah,Destinasi wisata Kampung Batik Kauman berlokasi di Solo.,destinasi wisata kampung batik kaum lokasi solo
W_d82c9eb9,Gedung Wayang Orang Sriwedari,Solo,Budaya/Sejarah,Destinasi wisata Gedung Wayang Orang Sriwedari berlokasi di Solo.,destinasi wisata gedung wayang orang sriwedari lokasi solo
W_1b4f997d,Taman Sriwedari Surakarta,Solo,Budaya/Sejarah,Taman hiburan sederhana yang menyediakan wahana anak-anak & pentas budaya seperti pertunjukan wayang.,taman hibur sederhana sedia wahana anak anak pentas budaya tunjuk wayang
W_71f3a86b,Masjid Raya Sheikh Zayed Solo Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Masjid Raya Sheikh Zayed Solo Surakarta berlokasi di Solo.,destinasi wisata masjid raya sheikh zayed solo surakarta lokasi solo
W_cec1e788,Masjid Agung Kraton Surakarta,Solo,Budaya/Sejarah,"Masjid yang dibangun tahun 1700-an bergaya Jawa klasik, dengan balok & pilar kayu di musalanya.",masjid bangun tahun an gaya jawa klasik balok pilar kayu musala
W_621fc22c,Masjid Al Wustho Mangkunegaran,Solo,Budaya/Sejarah,Destinasi wisata Masjid Al Wustho Mangkunegaran berlokasi di Solo.,destinasi wisata masjid al wustho mangkunegaran lokasi solo
W_3cf53690,Vihara Dhamma Sundara,Solo,Budaya/Sejarah,Destinasi wisata Vihara Dhamma Sundara berlokasi di Solo.,destinasi wisata vihara dhamma sundara lokasi solo
W_d48db9a3,"Gereja Katolik Paroki Santo Antonius Padua, Purbayan",Solo,Budaya/Sejarah,"Destinasi wisata Gereja Katolik Paroki Santo Antonius Padua, Purbayan berlokasi di Solo.",destinasi wisata gereja katolik paroki santo antonius padua purbayan lokasi solo
W_5820d8a6,Solo Safari,Solo,Budaya/Sejarah,"Kebun binatang tradisional dengan burung, mamalia, naik gajah & unta, serta banyak program edukasi.",kebun binatang tradisional burung mamalia naik gajah unta banyak program edukasi
W_ef3f9e5f,Taman Balekambang Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Taman Balekambang Surakarta berlokasi di Solo.,destinasi wisata taman balekambang surakarta lokasi solo
W_700b210c,Pracima Tuin,Solo,Budaya/Sejarah,Destinasi wisata Pracima Tuin berlokasi di Solo.,destinasi wisata pracima tuin lokasi solo
W_16cdc171,Bendung Karet Tirtonadi,Solo,Budaya/Sejarah,Destinasi wisata Bendung Karet Tirtonadi berlokasi di Solo.,destinasi wisata bendung karet tirtonadi lokasi solo
W_e0698fbe,Taman Cerdas Kelurahan Jebres,Solo,Budaya/Sejarah,"Area rekreasi populer dengan patung dinosaurus, area bermain amfiteater & Wi-Fi publik.",area rekreasi populer patung dinosaurus area main amfiteater wi fi publik
W_a82a0c66,Alun-Alun Kidul Surakarta,Solo,Budaya/Sejarah,"Taman populer dengan berbagai kedai makanan, wahana karnaval & pemandangan kawanan kerbau yang dikeramatkan.",taman populer bagai kedai makan wahana karnaval pandang kawan kerbau keramat
W_379af849,Alun-Alun Lor Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Alun-Alun Lor Surakarta berlokasi di Solo.,destinasi wisata alun alun lor surakarta lokasi solo
