ID_Wisata,Nama_Wisata,Kota,Kategori,Deskripsi_Wisata
W_536421c4,Pantai Wediombo,Yogyakarta,Alam,"Garis pantai berpasir panjang & lebar, bebatuan karang dengan air tenang & pemandangan perbukitan hijau."
W_14e02ad1,Pantai Siung,Yogyakarta,Alam,Pantai berpasir yang tertutup pepohonan & tebing yang populer dengan pemanjat tebing & perahu nelayan cadik.
W_86e3aaee,Pantai Ngobaran,Yogyakarta,Alam,"Pantai kecil untuk berenang, berjemur & tempat makan di sekitar di teluk yang dikelilingi tebing rimbun."
W_c1453317,Pantai Ngrenehan,Yogyakarta,Alam,Pantai berpasir di teluk yang dihiasi perahu nelayan lokal & dinaungi oleh tanjung batu kapur berwarna hijau.
W_6173c864,Pantai Gesing,Yogyakarta,Alam,Pantai pasir putih di tepi tebing curam dengan air hijau cerah untuk berenang & menyantap lobster & sembilang.
W_cf698803,Pantai Kuwaru,Yogyakarta,Alam,Destinasi wisata Pantai Kuwaru berlokasi di Yogyakarta.
W_39933fbe,Gumuk Pasir Parangkusumo,Yogyakarta,Budaya/Sejarah,"Area bukit pasir unik & indah, destinasi populer untuk fotografi & seluncur pasir."
W_3613095e,Hutan Pinus Asri,Yogyakarta,Budaya/Sejarah,Area mendaki di hutan yang terkenal dengan pohon pinus & tempat untuk berfoto dengan titik pengamatan gunung.
W_ab2082d6,Seribu Batu Songgo Langit,Yogyakarta,Budaya/Sejarah,"Jalan setapak & tempat observasi di bukit berhutan, plus rumah hobbit kayu terinspirasi ""Lord of the Rings""."
W_bee04781,Jurang Tembelan Kanigoro,Yogyakarta,Budaya/Sejarah,Panggung kayu yang menjorok keluar dengan pemandangan menawan dari atas jurang.
W_1a40311c,Bukit Pengilon,Yogyakarta,Alam,Destinasi wisata Bukit Pengilon berlokasi di Yogyakarta.
W_9f8aa56b,Bukit Paralayang Watugupit,Yogyakarta,Alam,Tempat observasi di puncak bukit yang menghadap Samudera Hindia & pantai & titik lepas landas paralayang.
W_eda7542b,Grojogan Watu Purbo,Yogyakarta,Budaya/Sejarah,"Kumpulan air terjun sejajar dari bendungan, populer untuk selfie & pemandangan matahari terbenam di pedesaan."
W_492207ad,Kedung Pedut,Yogyakarta,Alam,Pengunjung dapat mendaki ke air terjun kecil indah ini melalui batuan & berenang di kolam bagian bawah.
W_6b97e710,Air Terjun Kembang Soka,Yogyakarta,Budaya/Sejarah,Destinasi wisata Air Terjun Kembang Soka berlokasi di Yogyakarta.
W_4c280c36,Wisata Alam Kalibiru,Yogyakarta,Budaya/Sejarah,"Tujuan wisata alam yang menawarkan game & aktivitas outdoor, plus area untuk berfoto."
W_e08dd8b1,PINTU MASUK AYUNAN LANGIT,Yogyakarta,Budaya/Sejarah,Destinasi wisata PINTU MASUK AYUNAN LANGIT berlokasi di Yogyakarta.
W_595cc8fa,Goa Kiskendo,Yogyakarta,Alam,Destinasi wisata Goa Kiskendo berlokasi di Yogyakarta.
W_5c461c06,Goa Rancang Kencono,Yogyakarta,Alam,Destinasi wisata Goa Rancang Kencono berlokasi di Yogyakarta.
W_9af2732c,Affandi Museum,Yogyakarta,Budaya/Sejarah,Museum rumah yang menampilkan arsitektur unik & berbagai lukisan dari seniman Indonesia ini.
W_30f77f3c,Museum Pusat TNI AU Dirgantara Mandala,Yogyakarta,Budaya/Sejarah,"Pameran TNI AU Indonesia, termasuk jet tempur PDII & diorama yang menunjukkan peristiwa bersejarah."
W_dccf7412,Museum Gunungapi Merapi,Yogyakarta,Alam,Museum dengan pameran yang didedikasikan untuk Gunung Merapi & gunung berapi Indonesia & internasional lain.
W_4288b429,The World Landmarks - Merapi Park Yogyakarta,Yogyakarta,Budaya/Sejarah,"Taman & area piknik dengan versi mini dari bangunan seperti Big Ben & Menara Eiffel, plus taman rekreasi air."
W_9722720a,Agrowisata Bhumi Merapi,Yogyakarta,Budaya/Sejarah,"Taman pertanian tempat pengunjung bisa memerah susu kambing, memberi makan kelinci & selfie di Santorini mini."
W_d9d96e25,Stonehenge Yogyakarta,Yogyakarta,Budaya/Sejarah,Replika beton dari batu berdiri Inggris yang ikonis di lereng Gunung Merapi.
W_cfd68ef0,Plunyon Kalikuning,Yogyakarta,Budaya/Sejarah,"Taman tepi sungai populer yang memiliki jembatan, area pendakian, serta panorama bukit hijau & pegunungan."
W_00d900f9,Plunyon Kalikuning,Yogyakarta,Alam,"Taman tepi sungai populer yang memiliki jembatan, area pendakian, serta panorama bukit hijau & pegunungan."
W_529c8a15,Waterboom Jogja,Yogyakarta,Budaya/Sejarah,Destinasi wisata Waterboom Jogja berlokasi di Yogyakarta.
W_9d3c24e9,Mini Zoo Jogja Exotarium,Yogyakarta,Budaya/Sejarah,"Kebun binatang kecil dengan reptil, hewan ternak, dan ikan, serta pengalaman langsung dan taman bunga."
W_8dd03f35,Suraloka Interactive Zoo,Yogyakarta,Budaya/Sejarah,Destinasi wisata Suraloka Interactive Zoo berlokasi di Yogyakarta.
W_34a89093,Watu Goyang,Yogyakarta,Budaya/Sejarah,"Taman tinggi dengan pemandangan matahari terbenam dan pedesaan, serta perlengkapan unik untuk selfie."
W_42c4a1ea,Puncak Segoro,Yogyakarta,Budaya/Sejarah,Destinasi wisata Puncak Segoro berlokasi di Yogyakarta.
W_bf97902b,Teras Kaca Pantai Nguluran,Yogyakarta,Alam,"Tiket masuk ke teras berlantai kaca yang menawarkan pemandangan tebing tinggi & laut, serta foto."
W_28c5ceb5,Gamplong Studio Alam,Yogyakarta,Budaya/Sejarah,Objek wisata terbuka dengan bangunan bergaya klasik yang dibuat ulang untuk syuting film & tempat foto unik.
W_bb47d413,Wisata Tebing Gunung Gajah,Yogyakarta,Alam,Destinasi wisata Wisata Tebing Gunung Gajah berlokasi di Yogyakarta.
W_1dbe7377,Pantai Jungwok,Yogyakarta,Alam,"Pesisir berangin kencang ini populer untuk olahraga air & memancing lobster, plus naik perahu ke pulau karang."
W_ccb71769,Keraton Surakarta Hadiningrat,Solo,Budaya/Sejarah,"Istana yang megah dari tahun 1744 dengan tur & museum berisi patung, senjata & artefak lain."
W_af66506d,Pura Mangkunegaran,Solo,Budaya/Sejarah,"Rumah anggota kerajaan sejak tahun 1757, sebagian wilayahnya dapat dikunjungi dengan tur pameran bersejarah."
W_c838b1ae,Museum Radya Pustaka,Solo,Budaya/Sejarah,"Museum sejarah abad 19 yang nyaman dan berisi senjata, pakaian, manuskrip, patung & mata uang."
W_deb16ed3,House Of Danar Hadi,Solo,Budaya/Sejarah,"Museum batik internasional dengan kain klasik, demonstrasi langsung & tekstil untuk dijual."
W_1ec975bc,Benteng Vastenburg,Solo,Budaya/Sejarah,"Benteng peninggalan kolonial Belanda tahun 1700-an, yang sekarang sesekali digunakan untuk konser & festival."
W_40105b7b,Museum Keris Nusantara,Solo,Budaya/Sejarah,"Museum ini menampilkan warisan budaya Jawa dengan seni, artefak, & senjata khas daerah."
W_d21ae8d6,Monumen Pers Nasional,Solo,Budaya/Sejarah,"Museum pers nasional, dengan perpustakaan, pameran & lebih dari 1 juta surat kabar."
W_cfacd8db,Lokananta,Solo,Budaya/Sejarah,Destinasi wisata Lokananta berlokasi di Solo.
W_6f64a27c,Gedung Djoeang 45,Solo,Budaya/Sejarah,Destinasi wisata Gedung Djoeang 45 berlokasi di Solo.
W_a85293c8,Dalem Kalitan,Solo,Budaya/Sejarah,Destinasi wisata Dalem Kalitan berlokasi di Solo.
W_ccb955ba,Tumurun Private Museum,Solo,Budaya/Sejarah,Seni modern yang memukau milik keluarga pendiri perusahaan tekstil besar yang dipajang di rumah besar.
W_5da2deca,Kampung Batik Laweyan,Solo,Budaya/Sejarah,Destinasi wisata Kampung Batik Laweyan berlokasi di Solo.
W_32ed8967,Kampung Batik Kauman,Solo,Budaya/Sejarah,Destinasi wisata Kampung Batik Kauman berlokasi di Solo.
W_d82c9eb9,Gedung Wayang Orang Sriwedari,Solo,Budaya/Sejarah,Destinasi wisata Gedung Wayang Orang Sriwedari berlokasi di Solo.
W_1b4f997d,Taman Sriwedari Surakarta,Solo,Budaya/Sejarah,Taman hiburan sederhana yang menyediakan wahana anak-anak & pentas budaya seperti pertunjukan wayang.
W_71f3a86b,Masjid Raya Sheikh Zayed Solo Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Masjid Raya Sheikh Zayed Solo Surakarta berlokasi di Solo.
W_cec1e788,Masjid Agung Kraton Surakarta,Solo,Budaya/Sejarah,"Masjid yang dibangun tahun 1700-an bergaya Jawa klasik, dengan balok & pilar kayu di musalanya."
W_621fc22c,Masjid Al Wustho Mangkunegaran,Solo,Budaya/Sejarah,Destinasi wisata Masjid Al Wustho Mangkunegaran berlokasi di Solo.
W_3cf53690,Vihara Dhamma Sundara,Solo,Budaya/Sejarah,Destinasi wisata Vihara Dhamma Sundara berlokasi di Solo.
W_d48db9a3,"Gereja Katolik Paroki Santo Antonius Padua, Purbayan",Solo,Budaya/Sejarah,"Destinasi wisata Gereja Katolik Paroki Santo Antonius Padua, Purbayan berlokasi di Solo."
W_5820d8a6,Solo Safari,Solo,Budaya/Sejarah,"Kebun binatang tradisional dengan burung, mamalia, naik gajah & unta, serta banyak program edukasi."
W_ef3f9e5f,Taman Balekambang Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Taman Balekambang Surakarta berlokasi di Solo.
W_700b210c,Pracima Tuin,Solo,Budaya/Sejarah,Destinasi wisata Pracima Tuin berlokasi di Solo.
W_16cdc171,Bendung Karet Tirtonadi,Solo,Budaya/Sejarah,Destinasi wisata Bendung Karet Tirtonadi berlokasi di Solo.
W_e0698fbe,Taman Cerdas Kelurahan Jebres,Solo,Budaya/Sejarah,"Area rekreasi populer dengan patung dinosaurus, area bermain amfiteater & Wi-Fi publik."
W_a82a0c66,Alun-Alun Kidul Surakarta,Solo,Budaya/Sejarah,"Taman populer dengan berbagai kedai makanan, wahana karnaval & pemandangan kawanan kerbau yang dikeramatkan."
W_379af849,Alun-Alun Lor Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Alun-Alun Lor Surakarta berlokasi di Solo.
W_5b6f0a38,Taman Jayawijaya Mojosongo,Solo,Budaya/Sejarah,"Taman kota dengan peralatan bermain & area duduk, plus kedai makanan & masjid terdekat."
W_39f1bce1,Taman Monumen 45 Banjarsari,Solo,Budaya/Sejarah,Destinasi wisata Taman Monumen 45 Banjarsari berlokasi di Solo.
W_48c43301,Taman Sunan Jogo Kali,Solo,Budaya/Sejarah,Destinasi wisata Taman Sunan Jogo Kali berlokasi di Solo.
W_22c6564b,Pasar Triwindu,Solo,Budaya/Sejarah,Destinasi wisata Pasar Triwindu berlokasi di Solo.
W_23060855,Pasar Gede Hardjonagoro,Solo,Budaya/Sejarah,"Pasar ramai yang terkenal dengan kuliner kaki lima, menawarkan kios yang menjual buah, sayur & ikan."
W_d32d914a,Pasar Klewer Surakarta,Solo,Budaya/Sejarah,Destinasi wisata Pasar Klewer Surakarta berlokasi di Solo.
W_45edcdaa,Pasar Malam Ngarsopuro,Solo,Budaya/Sejarah,"Pasar malam akhir pekan yang semarak, diramaikan dengan pedagang kerajinan tangan, makanan, & musik live."
W_3c8f6d0e,Stadion Manahan,Solo,Budaya/Sejarah,Destinasi wisata Stadion Manahan berlokasi di Solo.
W_248fa377,Koridor GatSu,Solo,Budaya/Sejarah,Destinasi wisata Koridor GatSu berlokasi di Solo.
W_032080aa,Monumen Tugu Lilin,Solo,Budaya/Sejarah,Destinasi wisata Monumen Tugu Lilin berlokasi di Solo.
W_85d50fbd,Plasa Manahan,Solo,Budaya/Sejarah,Destinasi wisata Plasa Manahan berlokasi di Solo.
W_dbae899c,Tugu Makuthå,Solo,Budaya/Sejarah,Destinasi wisata Tugu Makuthå berlokasi di Solo.
W_01657a37,De Tjolomadoe,Solo,Budaya/Sejarah,"Pusat kebudayaan & pameran di pabrik gula abad ke-19 seluas 6,5 hektare dengan kafe & museum."
W_5bbaa647,The Heritage Palace,Solo,Budaya/Sejarah,Istana indoor-outdoor besar dengan taman & beberapa museum seni plus area bermain & ruang konvensi.
W_82c59681,Pandawa Water World,Solo,Budaya/Sejarah,"Taman rekreasi untuk anak ini menyediakan kolam renang, seluncuran, tempat bermain, & ombak buatan."
W_98c02141,Air Terjun Grojogan Sewu,Solo,Budaya/Sejarah,Pendakian di area hijau mengarah ke air terjun indah ini yang mengalir di tengah lingkungan rindang.
W_5ee3fddb,Candi Cetho,Solo,Budaya/Sejarah,Candi suci Jawa-Hindu di lereng gunung yang dibangun pada abad ke-15 & menghadap perkebunan teh.
W_a9204eeb,Candi Sukuh,Solo,Budaya/Sejarah,"Kompleks candi 600 tahun yang dipersembahkan untuk kelahiran & kehidupan baru, yang terdiri dari piramida & patung."
W_34f8c7ec,THE LAWU PARK,Solo,Budaya/Sejarah,"Resor gunung dengan kelinci & domba, jalan setapak di atas pohon & zona salju, plus kabin simpel."
W_a866782b,Umbul Ponggok,Solo,Budaya/Sejarah,"Digemari pecinta snorkeling & penyelam amatir, kolam alami tenang ini terkenal dengan pasir, batu, & ikan."
W_c7a85cd2,Waduk Cengklik Park,Solo,Budaya/Sejarah,"Kompleks rekreasi di tepi waduk, termasuk monorel, kolam renang, dan bioskop virtual reality."
W_5c14f0bb,Kemuning Sky Hills,Solo,Budaya/Sejarah,Destinasi wisata Kemuning Sky Hills berlokasi di Solo.
W_90c5e3d6,AIR TERJUN JUMOG REAL,Solo,Alam,"Air terjun yang tinggi dan deras ini memiliki kolam rendam, tempat pengamatan indah & berbagai jalur."
W_e13b9e73,Telaga Madirda,Solo,Budaya/Sejarah,"Area rekreasi yang terletak di bukit berhutan, dengan aktivitas naik kayak di danau tenang, hiking, dan kemah."
W_5a2b76a3,Kebun Teh Kemuning,Solo,Budaya/Sejarah,"Kebun teh di lereng Gunung Berapi Lawu, yang menawarkan jalan-jalan tanpa pemandu & beberapa kafe."
W_90f90f7a,Wisata Bukit Mongkrang,Solo,Alam,Area pendakian dengan jalur pendek menanjak ke titik pengamatan di kaki bukit dengan pemandangan Gunung Lawu.
W_404adf9b,Sakura Hills,Solo,Budaya/Sejarah,"Gerbang Shinto torii, penyewaan model samurai dan kimono di taman khas Jepang dengan bunga sakura musim semi."
W_5c6e90b1,Wisata Bukit Sekipan Tawangmangu,Solo,Alam,"Area rekreasi di lembah pegunungan, dengan wahana untuk anak-anak & model bangunan terkenal global."
W_c2c03f55,Taman Wisata New Balekambang Tawangmangu,Solo,Budaya/Sejarah,Replika 7 keajaiban dunia berskala kecil di antara taman rekreasi air dan game yang cocok untuk keluarga.
W_fd999a42,Rumah Atsiri Indonesia,Solo,Budaya/Sejarah,"Berada di bekas pabrik minyak sereh wangi, fasilitas modern ini memberikan edukasi minyak esensial untuk umum."
W_8f45b319,Umbul Kemanten,Solo,Budaya/Sejarah,Kolam mata air alami berair jernih yang dikelilingi pepohonan tinggi ini adalah tempat populer untuk berenang.
W_4768af2b,Kolam Renang Umbul Cokro (OMAC-Obyek Mata Air Cokro),Solo,Budaya/Sejarah,Destinasi wisata Kolam Renang Umbul Cokro (OMAC-Obyek Mata Air Cokro) berlokasi di Solo.
W_bd996948,Umbul Sigedang - Kapilaler,Solo,Budaya/Sejarah,Mata air mengaliri taman rekreasi dengan kolam renang alami ini dan fasilitas wisatawan lainnya.
W_8fa53f4b,UMBUL PELEM WATERPARK,Solo,Budaya/Sejarah,"Pusat aktivitas outdoor di atas mata air alami, dengan kolam renang, seluncuran air, dan area bermain."
W_c4a5f903,Umbul Besuki,Solo,Budaya/Sejarah,"Taman air yang dibangun di sekitar mata air alami dengan kolam renang, pemancingan, dan jalan setapak teduh."
W_3b3833d7,Candi Merak,Solo,Budaya/Sejarah,Destinasi wisata Candi Merak berlokasi di Solo.
W_b2d61e45,Rowo Jombor,Solo,Budaya/Sejarah,"Danau besar populer untuk berperahu & memancing, dikelilingi kedai camilan & resto hidangan panggang seafood."
W_f27d6d3d,Bukit Sidoguro Krakitan Bayat Klaten,Solo,Alam,Karya seni publik menyerupai flora asli di platform observasi puncak bukit yang menghadap ke kota & hutan.
W_6b073af3,Air Terjun Girimanik,Solo,Alam,Destinasi wisata Air Terjun Girimanik berlokasi di Solo.
W_c4ad0939,Waduk Gadjah Mungkur,Solo,Budaya/Sejarah,"Di waduk damai & luas ini ada aktivitas berperahu, berenang, memancing, kebun binatang mini & area piknik."
W_eb8debc6,Museum Manusia Purba Sangiran Klaster Ngebung,Solo,Budaya/Sejarah,"Pusat pendidikan yang menampilkan pajangan & artefak Manusia Jawa, salah satu jenis manusia purba."
W_ab68cc1e,Gunung Kemukus,Solo,Alam,"Situs gunung dan ziarah yang ditutupi tanaman subur, dengan sebuah kuil tua di bagian atasnya."
W_a6fefb15,Waduk Kedung Ombo,Solo,Budaya/Sejarah,Destinasi wisata Waduk Kedung Ombo berlokasi di Solo.
W_c90c9ee7,Alun-Alun Karanganyar,Solo,Budaya/Sejarah,Ruang hijau terbuka yang besar dan dibatasi oleh pohon ini merupakan tempat bagi berbagai acara & festival.
W_fd9470de,Alun-Alun Kidul Boyolali,Solo,Budaya/Sejarah,Alun-alun umum luas dengan patung sapi raksasa ini sering menjadi tempat berjualan berbagai pedagang makanan.
W_4f39e271,Simpang Siaga Boyolali,Solo,Budaya/Sejarah,Tiga belas kuda menarik kereta menanjak di patung besar dan menawan yang terbuat dari perunggu ini.
